disease,gene_symbol,gene_full_name
Atypical Fanconi syndrome-neonatal hyperinsulinism syndrome,HNF4A,hepatocyte nuclear factor 4 alpha
Congenital myopathy with reduced type 2 muscle fibers,MYL1,myosin light chain 1
NAD(P)HX dehydratase deficiency,NAXD,NAD(P)HX dehydratase
NAD(P)HX epimerase deficiency,NAXE,NAD(P)HX epimerase
FLNA-related X-linked myxomatous valvular dysplasia,FLNA,filamin A
Early-onset familial hypoaldosteronism,CYP11B2,cytochrome P450 family 11 subfamily B member 2
Early-onset calcifying leukoencephalopathy-skeletal dysplasia,CSF1R,colony stimulating factor 1 receptor
Pancreatic agenesis-holoprosencephaly syndrome,CNOT1,CCR4-NOT transcription complex subunit 1
Neonatal epileptic encephalopathy due to glutaminase deficiency,GLS,glutaminase
Spastic ataxia-dysarthria due to glutaminase deficiency,GLS,glutaminase
Oculoskeletodental syndrome,PIK3C2A,phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 alpha
Autosomal recessive anterior segment dysgenesis,CPAMD8,C3 and PZP like alpha-2-macroglobulin domain containing 8
Retinopathy of prematurity,LRP5,LDL receptor related protein 5
Retinopathy of prematurity,FZD4,frizzled class receptor 4
Retinopathy of prematurity,NDP,norrin cystine knot growth factor NDP
Hereditary folate malabsorption,SLC46A1,solute carrier family 46 member 1
Hemoglobin D disease,HBB,hemoglobin subunit beta
Familial pseudohyperkalemia,ABCB6,ATP binding cassette subfamily B member 6 (LAN blood group)
Primary familial polycythemia,EPOR,erythropoietin receptor
"Deafness with labyrinthine aplasia, microtia, and microdontia",FGF3,fibroblast growth factor 3
Primary immunodeficiency syndrome due to P14/LAMTOR2 deficiency,LAMTOR2,"late endosomal/lysosomal adaptor, MAPK and MTOR activator 2"
Parkinson-dementia complex of Guam,PARK7,Parkinsonism associated deglycase
Parkinson-dementia complex of Guam,TRPM7,transient receptor potential cation channel subfamily M member 7
Non-spherocytic hemolytic anemia due to hexokinase deficiency,HK1,hexokinase 1
Primary erythromelalgia,SCN9A,sodium voltage-gated channel alpha subunit 9
Primary erythromelalgia,SCN10A,sodium voltage-gated channel alpha subunit 10
Primary erythromelalgia,SCN11A,sodium voltage-gated channel alpha subunit 11
Hemolytic anemia due to glutathione reductase deficiency,GSR,glutathione-disulfide reductase
X-linked hypophosphatemia,PHEX,phosphate regulating endopeptidase X-linked
"Lissencephaly syndrome, Norman-Roberts type",NDE1,nudE neurodevelopment protein 1
"Lissencephaly syndrome, Norman-Roberts type",KATNB1,katanin regulatory subunit B1
"Lissencephaly syndrome, Norman-Roberts type",RELN,reelin
Dystrophic epidermolysis bullosa pruriginosa,COL7A1,collagen type VII alpha 1 chain
"Autosomal recessive generalized dystrophic epidermolysis bullosa, intermediate form",COL7A1,collagen type VII alpha 1 chain
X-linked cone dysfunction syndrome with myopia,OPN1MW,"opsin 1, medium wave sensitive"
X-linked cone dysfunction syndrome with myopia,OPN1LW,"opsin 1, long wave sensitive"
Bartter syndrome type 4,BSND,barttin CLCNK type accessory subunit beta
Bartter syndrome type 4,CLCNKB,chloride voltage-gated channel Kb
Bartter syndrome type 4,CLCNKA,chloride voltage-gated channel Ka
Autosomal dominant hypophosphatemic rickets,FGF23,fibroblast growth factor 23
Blau syndrome,NOD2,nucleotide binding oligomerization domain containing 2
Xeroderma pigmentosum variant,POLH,DNA polymerase eta
Autosomal dominant cutis laxa,ALDH18A1,aldehyde dehydrogenase 18 family member A1
Autosomal dominant cutis laxa,FBLN5,fibulin 5
Autosomal dominant cutis laxa,ELN,elastin
Autosomal recessive cutis laxa type 1,EFEMP2,EGF-like fibulin extracellular matrix protein 2
Autosomal recessive cutis laxa type 1,FBLN5,fibulin 5
Autosomal recessive cutis laxa type 1,LTBP1,latent transforming growth factor beta binding protein 1
Brittle cornea syndrome,ZNF469,zinc finger protein 469
Brittle cornea syndrome,PRDM5,PR/SET domain 5
Capillary-lymphatic-venous malformation with segmental distribution,AGGF1,angiogenic factor with G-patch and FHA domains 1
Capillary-lymphatic-venous malformation with segmental distribution,PIK3CA,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha"
Parkes Weber syndrome,RASA1,RAS p21 protein activator 1
Cockayne syndrome type 2,ERCC6,"ERCC excision repair 6, chromatin remodeling factor"
Cockayne syndrome type 2,ERCC8,"ERCC excision repair 8, CSA ubiquitin ligase complex subunit"
Cockayne syndrome type 2,ERCC1,"ERCC excision repair 1, endonuclease non-catalytic subunit"
Cockayne syndrome type 1,ERCC4,"ERCC excision repair 4, endonuclease catalytic subunit"
Cockayne syndrome type 1,ERCC6,"ERCC excision repair 6, chromatin remodeling factor"
Cockayne syndrome type 1,ERCC8,"ERCC excision repair 8, CSA ubiquitin ligase complex subunit"
Cockayne syndrome type 3,ERCC6,"ERCC excision repair 6, chromatin remodeling factor"
Cockayne syndrome type 3,ERCC8,"ERCC excision repair 8, CSA ubiquitin ligase complex subunit"
Mandibuloacral dysplasia with type A lipodystrophy,LMNA,lamin A/C
Mandibuloacral dysplasia with type B lipodystrophy,ZMPSTE24,zinc metallopeptidase STE24
Meige disease,EPHB4,EPH receptor B4
Severe early-onset axonal neuropathy due to MFN2 deficiency,MFN2,mitofusin 2
"Hereditary motor and sensory neuropathy, Okinawa type",TFG,trafficking from ER to golgi regulator
Hereditary motor and sensory neuropathy type 6,SLC25A46,solute carrier family 25 member 46
Hereditary motor and sensory neuropathy type 6,MFN2,mitofusin 2
"Autosomal recessive ataxia, Beauce type",SYNE1,spectrin repeat containing nuclear envelope protein 1
Hypomyelination-hypogonadotropic hypogonadism-hypodontia syndrome,POLR3B,RNA polymerase III subunit B
Hypomyelination-hypogonadotropic hypogonadism-hypodontia syndrome,POLR1C,RNA polymerase I and III subunit C
Hypomyelination-hypogonadotropic hypogonadism-hypodontia syndrome,POLR3A,RNA polymerase III subunit A
Neurodegeneration due to 3-hydroxyisobutyryl-CoA hydrolase deficiency,HIBCH,3-hydroxyisobutyryl-CoA hydrolase
Congenital insensitivity to pain-anosmia-neuropathic arthropathy,SCN9A,sodium voltage-gated channel alpha subunit 9
Congenital insensitivity to pain-anosmia-neuropathic arthropathy,SCN10A,sodium voltage-gated channel alpha subunit 10
Congenital insensitivity to pain-anosmia-neuropathic arthropathy,SCN11A,sodium voltage-gated channel alpha subunit 11
Vacuolar myopathy with sarcoplasmic reticulum protein aggregates,CASQ1,calsequestrin 1
Ichthyosis-prematurity syndrome,SLC27A4,solute carrier family 27 member 4
Posterior column ataxia-retinitis pigmentosa syndrome,FLVCR1,FLVCR choline and heme transporter 1
Tritanopia,OPN1SW,"opsin 1, short wave sensitive"
Terminal osseous dysplasia-pigmentary defects syndrome,FLNA,filamin A
Isolated congenital anosmia,TENM1,teneurin transmembrane protein 1
Isolated congenital anosmia,CNGA2,cyclic nucleotide gated channel subunit alpha 2
Familial acute necrotizing encephalopathy,RANBP2,RAN binding protein 2
S-adenosylhomocysteine hydrolase deficiency,AHCY,adenosylhomocysteinase
Autosomal recessive non-syndromic intellectual disability,DCPS,"decapping enzyme, scavenger"
Autosomal recessive non-syndromic intellectual disability,B3GALNT2,"beta-1,3-N-acetylgalactosaminyltransferase 2"
Autosomal recessive non-syndromic intellectual disability,IMPA1,inositol monophosphatase 1
Autosomal recessive non-syndromic intellectual disability,ABCA2,ATP binding cassette subfamily A member 2
Autosomal recessive non-syndromic intellectual disability,CHKA,choline kinase alpha
Autosomal recessive non-syndromic intellectual disability,GRIA1,glutamate ionotropic receptor AMPA type subunit 1
Autosomal recessive non-syndromic intellectual disability,CEP104,centrosomal protein 104
Autosomal recessive non-syndromic intellectual disability,GRIN1,glutamate ionotropic receptor NMDA type subunit 1
Autosomal recessive non-syndromic intellectual disability,AIMP1,aminoacyl tRNA synthetase complex interacting multifunctional protein 1
Autosomal recessive non-syndromic intellectual disability,CRBN,cereblon
Autosomal recessive non-syndromic intellectual disability,TUSC3,tumor suppressor candidate 3
Autosomal recessive non-syndromic intellectual disability,TECR,"trans-2,3-enoyl-CoA reductase"
Autosomal recessive non-syndromic intellectual disability,GRIK2,glutamate ionotropic receptor kainate type subunit 2
Autosomal recessive non-syndromic intellectual disability,WASHC4,WASH complex subunit 4
Autosomal recessive non-syndromic intellectual disability,TRAPPC9,trafficking protein particle complex subunit 9
Autosomal recessive non-syndromic intellectual disability,PRSS12,serine protease 12
Autosomal recessive non-syndromic intellectual disability,MED23,mediator complex subunit 23
Autosomal recessive non-syndromic intellectual disability,CRADD,CARD and death domain containing adaptor protein
Autosomal recessive non-syndromic intellectual disability,ZC3H14,zinc finger CCCH-type containing 14
Autosomal recessive non-syndromic intellectual disability,NSUN2,NOP2/Sun RNA methyltransferase 2
Autosomal recessive non-syndromic intellectual disability,LINS1,lines homolog 1
Autosomal recessive non-syndromic intellectual disability,PGAP1,post-GPI attachment to proteins inositol deacylase 1
Autosomal recessive non-syndromic intellectual disability,METTL23,"methyltransferase 23, arginine"
Autosomal recessive non-syndromic intellectual disability,CLIP1,CAP-Gly domain containing linker protein 1
Autosomal recessive non-syndromic intellectual disability,FBXO31,F-box protein 31
Autosomal recessive non-syndromic intellectual disability,NDST1,N-deacetylase and N-sulfotransferase 1
Autosomal recessive non-syndromic intellectual disability,FMN2,formin 2
Autosomal recessive non-syndromic intellectual disability,EDC3,enhancer of mRNA decapping 3
Autosomal recessive non-syndromic intellectual disability,HNMT,histamine N-methyltransferase
Autosomal recessive non-syndromic intellectual disability,EZR,ezrin
Autosomal recessive non-syndromic intellectual disability,LMAN2L,"lectin, mannose binding 2 like"
Autosomal recessive non-syndromic intellectual disability,NEMF,nuclear export mediator factor
Autosomal recessive non-syndromic intellectual disability,GRM7,glutamate metabotropic receptor 7
Autosomal recessive non-syndromic intellectual disability,IQSEC1,IQ motif and Sec7 domain ArfGEF 1
Autosomal recessive non-syndromic intellectual disability,TNIK,TRAF2 and NCK interacting kinase
Autosomal recessive non-syndromic intellectual disability,NCDN,neurochondrin
Autosomal recessive non-syndromic intellectual disability,UBE4A,ubiquitination factor E4A
Autosomal recessive non-syndromic intellectual disability,TTC5,tetratricopeptide repeat domain 5
Autosomal recessive non-syndromic intellectual disability,PIGC,phosphatidylinositol glycan anchor biosynthesis class C
Autosomal recessive non-syndromic intellectual disability,SLC45A1,solute carrier family 45 member 1
Autosomal recessive non-syndromic intellectual disability,GEMIN5,gem nuclear organelle associated protein 5
Autosomal recessive non-syndromic intellectual disability,FRRS1L,ferric chelate reductase 1 like
Autosomal recessive non-syndromic intellectual disability,ALKBH8,"alkB homolog 8, tRNA methyltransferase"
Autosomal recessive non-syndromic intellectual disability,MBOAT7,membrane bound acylglycerophosphatidylinositol O-acyltransferase MBOAT7
Autosomal recessive non-syndromic intellectual disability,FERRY3,FERRY endosomal RAB5 effector complex subunit 3
Autosomal recessive non-syndromic intellectual disability,SARS1,seryl-tRNA synthetase 1
Autosomal recessive non-syndromic intellectual disability,RSRC1,arginine and serine rich coiled-coil 1
Autosomal recessive non-syndromic intellectual disability,MED25,mediator complex subunit 25
Autosomal recessive non-syndromic intellectual disability,NAA20,"N-alpha-acetyltransferase 20, NatB catalytic subunit"
Autosomal recessive non-syndromic intellectual disability,CC2D1A,coiled-coil and C2 domain containing 1A
Autosomal recessive non-syndromic intellectual disability,MAN1B1,mannosidase alpha class 1B member 1
Autosomal recessive non-syndromic intellectual disability,TPR,"translocated promoter region, nuclear basket protein"
Autosomal recessive non-syndromic intellectual disability,KDM5B,lysine demethylase 5B
Autosomal recessive non-syndromic intellectual disability,EEF1B2,eukaryotic translation elongation factor 1 beta 2
Mal de Meleda,SLURP1,secreted LY6/PLAUR domain containing 1
Dermatopathia pigmentosa reticularis,KRT14,keratin 14
Infantile hypotonia-oculomotor anomalies-hyperkinetic movements-developmental delay syndrome,SYT1,synaptotagmin 1
Epilepsy with myoclonic absences,SLC2A1,solute carrier family 2 member 1
LAMA5-related multisystemic syndrome,LAMA5,laminin subunit alpha 5
Microcephaly-facial dysmorphism-ocular anomalies-multiple congenital anomalies syndrome,ADAMTSL1,ADAMTS like 1
Congenital vertebral-cardiac-renal anomalies syndrome,KYNU,kynureninase
Congenital vertebral-cardiac-renal anomalies syndrome,NADSYN1,NAD synthetase 1
Congenital vertebral-cardiac-renal anomalies syndrome,HAAO,"3-hydroxyanthranilate 3,4-dioxygenase"
Congenital cataract-severe neonatal hepatopathy-global developmental delay syndrome,CYP51A1,cytochrome P450 family 51 subfamily A member 1
PLAA-associated neurodevelopmental disorder,PLAA,phospholipase A2 activating protein
Autosomal dominant Charcot-Marie-Tooth disease type 2DD,ATP1A1,ATPase Na+/K+ transporting subunit alpha 1
Xq25 microduplication syndrome,STAG2,STAG2 cohesin complex component
Proximal myopathy with focal depletion of mitochondria,CHKB,choline kinase beta
Spastic paraplegia-intellectual disability-nystagmus-obesity syndrome,KIDINS220,kinase D interacting substrate 220
Dystonia-parkinsonism-hypermanganesemia syndrome,SLC39A14,solute carrier family 39 member 14
Autosomal recessive generalized epidermolysis bullosa simplex,KRT14,keratin 14
Autosomal recessive axonal Charcot-Marie-Tooth disease due to copper metabolism defect,SCO2,synthesis of cytochrome C oxidase 2
MUC1-related autosomal dominant tubulointerstitial kidney disease,MUC1,"mucin 1, cell surface associated"
UMOD-related autosomal dominant tubulointerstitial kidney disease,UMOD,uromodulin
Pseudohypoaldosteronism type 2C,WNK1,WNK lysine deficient protein kinase 1
Pseudohypoaldosteronism type 2B,WNK4,WNK lysine deficient protein kinase 4
Autosomal dominant polycystic kidney disease type 1 with tuberous sclerosis,TSC2,TSC complex subunit 2
Autosomal dominant polycystic kidney disease type 1 with tuberous sclerosis,PKD1,"polycystin 1, transient receptor potential channel interacting"
Autosomal dominant Alport syndrome,COL4A3,collagen type IV alpha 3 chain
Autosomal dominant Alport syndrome,COL4A4,collagen type IV alpha 4 chain
Autosomal recessive Alport syndrome,COL4A3,collagen type IV alpha 3 chain
Autosomal recessive Alport syndrome,COL4A4,collagen type IV alpha 4 chain
X-linked Alport syndrome,COL4A5,collagen type IV alpha 5 chain
Fragile X-associated tremor/ataxia syndrome,FMR1,fragile X messenger ribonucleoprotein 1
Hypohidrosis-electrolyte imbalance-lacrimal gland dysfunction-ichthyosis-xerostomia syndrome,CLDN10,claudin 10
Hydrops-lactic acidosis-sideroblastic anemia-multisystemic failure syndrome,LARS2,"leucyl-tRNA synthetase 2, mitochondrial"
Non-specific syndromic intellectual disability,ZMIZ1,zinc finger MIZ-type containing 1
Non-specific syndromic intellectual disability,PUS7,pseudouridine synthase 7
Non-specific syndromic intellectual disability,TRAPPC4,trafficking protein particle complex subunit 4
Non-specific syndromic intellectual disability,MAN2C1,mannosidase alpha class 2C member 1
Non-specific syndromic intellectual disability,BAP1,BRCA1 associated deubiquitinase 1
Non-specific syndromic intellectual disability,TRIP12,thyroid hormone receptor interactor 12
Non-specific syndromic intellectual disability,ZNF526,zinc finger protein 526
Non-specific syndromic intellectual disability,BCORL1,BCL6 corepressor like 1
Non-specific syndromic intellectual disability,CHD5,chromodomain helicase DNA binding protein 5
Non-specific syndromic intellectual disability,PAK3,p21 (RAC1) activated kinase 3
Non-specific syndromic intellectual disability,BRWD3,bromodomain and WD repeat domain containing 3
Non-specific syndromic intellectual disability,TBR1,T-box brain transcription factor 1
Non-specific syndromic intellectual disability,AGO1,argonaute RISC component 1
Non-specific syndromic intellectual disability,KMT2E,lysine methyltransferase 2E (inactive)
Non-specific syndromic intellectual disability,SVBP,small vasohibin binding protein
Non-specific syndromic intellectual disability,CERT1,ceramide transporter 1
Non-specific syndromic intellectual disability,FBXW11,F-box and WD repeat domain containing 11
Non-specific syndromic intellectual disability,ANKRD17,ankyrin repeat domain 17
Non-specific syndromic intellectual disability,EMC10,ER membrane protein complex subunit 10
Non-specific syndromic intellectual disability,SPTBN1,"spectrin beta, non-erythrocytic 1"
Non-specific syndromic intellectual disability,LMBRD2,LMBR1 domain containing 2
Non-specific syndromic intellectual disability,TRMT1,tRNA methyltransferase 1
Non-specific syndromic intellectual disability,CNOT1,CCR4-NOT transcription complex subunit 1
Non-specific syndromic intellectual disability,CDK8,cyclin dependent kinase 8
Non-specific syndromic intellectual disability,PGM2L1,phosphoglucomutase 2 like 1
Non-specific syndromic intellectual disability,CTR9,CTR9 component of Paf1/RNA polymerase II complex
Non-specific syndromic intellectual disability,RALA,RAS like proto-oncogene A
Non-specific syndromic intellectual disability,NOVA2,NOVA alternative splicing regulator 2
Non-specific syndromic intellectual disability,HNRNPC,heterogeneous nuclear ribonucleoprotein C
Non-specific syndromic intellectual disability,ATP6V0A1,ATPase H+ transporting V0 subunit a1
Non-specific syndromic intellectual disability,TAF4,TATA-box binding protein associated factor 4
Non-specific syndromic intellectual disability,EIF4A2,eukaryotic translation initiation factor 4A2
Non-specific syndromic intellectual disability,SCAF4,SR-related CTD associated factor 4
Non-specific syndromic intellectual disability,CAPRIN1,cell cycle associated protein 1
Non-specific syndromic intellectual disability,PPP2CA,protein phosphatase 2 catalytic subunit alpha
Non-specific syndromic intellectual disability,MED12L,mediator complex subunit 12L
Non-specific syndromic intellectual disability,TMEM222,transmembrane protein 222
Non-specific syndromic intellectual disability,OTUD5,OTU deubiquitinase 5
Non-specific syndromic intellectual disability,SIAH1,siah E3 ubiquitin protein ligase 1
Non-specific syndromic intellectual disability,RAC3,Rac family small GTPase 3
Non-specific syndromic intellectual disability,FAM50A,family with sequence similarity 50 member A
Non-specific syndromic intellectual disability,ZMYM2,zinc finger MYM-type containing 2
Non-specific syndromic intellectual disability,AP1G1,adaptor related protein complex 1 subunit gamma 1
Non-specific syndromic intellectual disability,ATP9A,ATPase phospholipid transporting 9A
Non-specific syndromic intellectual disability,DOHH,deoxyhypusine hydroxylase
Non-specific syndromic intellectual disability,ADGRL1,adhesion G protein-coupled receptor L1
Non-specific syndromic intellectual disability,CSNK2A1,casein kinase 2 alpha 1
Non-specific syndromic intellectual disability,TNRC6B,trinucleotide repeat containing adaptor 6B
Non-specific syndromic intellectual disability,CUL3,cullin 3
Non-specific syndromic intellectual disability,SETD5,SET domain containing 5
Non-specific syndromic intellectual disability,SRCAP,Snf2 related CREBBP activator protein
Non-specific syndromic intellectual disability,RNF2,ring finger protein 2
Non-specific syndromic intellectual disability,SYNCRIP,synaptotagmin binding cytoplasmic RNA interacting protein
Non-specific syndromic intellectual disability,GNB2,G protein subunit beta 2
Non-specific syndromic intellectual disability,PRPF8,pre-mRNA processing factor 8
Non-specific syndromic intellectual disability,NRCAM,neuronal cell adhesion molecule
Non-specific syndromic intellectual disability,H4C5,H4 clustered histone 5
Non-specific syndromic intellectual disability,TIAM1,TIAM Rac1 associated GEF 1
Non-specific syndromic intellectual disability,CACNA1C,calcium voltage-gated channel subunit alpha1 C
Non-specific syndromic intellectual disability,WDFY3,WD repeat and FYVE domain containing 3
Non-specific syndromic intellectual disability,GRIK2,glutamate ionotropic receptor kainate type subunit 2
Non-specific syndromic intellectual disability,NTNG1,netrin G1
Non-specific syndromic intellectual disability,CNOT3,CCR4-NOT transcription complex subunit 3
Non-specific syndromic intellectual disability,UBR7,ubiquitin protein ligase E3 component n-recognin 7
Non-specific syndromic intellectual disability,WASF1,WASP family member 1
Non-specific syndromic intellectual disability,ZNF142,zinc finger protein 142
Non-specific syndromic intellectual disability,SETD1A,"SET domain containing 1A, histone lysine methyltransferase"
Non-specific syndromic intellectual disability,MADD,MAP kinase activating death domain
Non-specific syndromic intellectual disability,NTNG2,netrin G2
Non-specific syndromic intellectual disability,H4C3,H4 clustered histone 3
Non-specific syndromic intellectual disability,CCDC32,coiled-coil domain containing 32
Non-specific syndromic intellectual disability,PALS1,"protein associated with LIN7 1, MAGUK p55 family member"
Non-specific syndromic intellectual disability,KDM4B,lysine demethylase 4B
Non-specific syndromic intellectual disability,ACTL6B,actin like 6B
Non-specific syndromic intellectual disability,DLG4,discs large MAGUK scaffold protein 4
Non-specific syndromic intellectual disability,DDX6,DEAD-box helicase 6
Non-specific syndromic intellectual disability,DPYSL5,dihydropyrimidinase like 5
Non-specific syndromic intellectual disability,MED27,mediator complex subunit 27
Non-specific syndromic intellectual disability,HPDL,4-hydroxyphenylpyruvate dioxygenase like
Non-specific syndromic intellectual disability,HS2ST1,heparan sulfate 2-O-sulfotransferase 1
Non-specific syndromic intellectual disability,GRIA4,glutamate ionotropic receptor AMPA type subunit 4
Non-specific syndromic intellectual disability,MED13,mediator complex subunit 13
Non-specific syndromic intellectual disability,TCF20,transcription factor 20
Non-specific syndromic intellectual disability,TCF7L2,transcription factor 7 like 2
Non-specific syndromic intellectual disability,JARID2,jumonji and AT-rich interaction domain containing 2
Non-specific syndromic intellectual disability,HUWE1,"HECT, UBA and WWE domain containing E3 ubiquitin protein ligase 1"
Non-specific syndromic intellectual disability,PTPN23,protein tyrosine phosphatase non-receptor type 23
Non-specific syndromic intellectual disability,MAPK8IP3,mitogen-activated protein kinase 8 interacting protein 3
Non-specific syndromic intellectual disability,TANC2,"tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 2"
Non-specific syndromic intellectual disability,EIF5A,eukaryotic translation initiation factor 5A
Non-specific syndromic intellectual disability,ZNF699,zinc finger protein 699
Non-specific syndromic intellectual disability,H4C9,H4 clustered histone 9
Non-specific syndromic intellectual disability,DOCK3,dedicator of cytokinesis 3
Non-specific syndromic intellectual disability,NAA15,"N-alpha-acetyltransferase 15, NatA auxiliary subunit"
Non-specific syndromic intellectual disability,RORA,RAR related orphan receptor A
Non-specific syndromic intellectual disability,RLIM,"ring finger protein, LIM domain interacting"
Non-specific syndromic intellectual disability,ACTL6A,actin like 6A
Non-specific syndromic intellectual disability,CLCN3,chloride voltage-gated channel 3
Non-specific syndromic intellectual disability,AGO2,"argonaute 2, RISC catalytic component"
Non-specific syndromic intellectual disability,KAT8,lysine acetyltransferase 8
Non-specific syndromic intellectual disability,HTT,huntingtin
Non-specific syndromic intellectual disability,ATP2B1,ATPase plasma membrane Ca2+ transporting 1
Non-specific syndromic intellectual disability,PLXNA1,plexin A1
Non-specific syndromic intellectual disability,KMT2B,lysine methyltransferase 2B
Non-specific syndromic intellectual disability,PCDHGC4,"protocadherin gamma subfamily C, 4"
Non-specific syndromic intellectual disability,CPSF3,cleavage and polyadenylation specific factor 3
Non-specific syndromic intellectual disability,MSL2,MSL complex subunit 2
Non-specific syndromic intellectual disability,UPF1,UPF1 RNA helicase and ATPase
Non-specific syndromic intellectual disability,FBXO11,F-box protein 11
Non-specific syndromic intellectual disability,MYCBP2,MYC binding protein 2
Non-specific syndromic intellectual disability,FBXW7,F-box and WD repeat domain containing 7
Non-specific syndromic intellectual disability,ZNF292,zinc finger protein 292
Non-specific syndromic intellectual disability,WARS1,tryptophanyl-tRNA synthetase 1
Non-specific syndromic intellectual disability,PSMD12,"proteasome 26S subunit, non-ATPase 12"
Crouzon syndrome-acanthosis nigricans syndrome,FGFR3,fibroblast growth factor receptor 3
Pfeiffer syndrome type 3,FGFR2,fibroblast growth factor receptor 2
Pfeiffer syndrome type 2,FGFR2,fibroblast growth factor receptor 2
Pfeiffer syndrome type 1,FGFR1,fibroblast growth factor receptor 1
Pfeiffer syndrome type 1,FGFR2,fibroblast growth factor receptor 2
"Short rib-polydactyly syndrome, Verma-Naumoff type",IFT80,intraflagellar transport 80
"Short rib-polydactyly syndrome, Verma-Naumoff type",DYNC2H1,dynein cytoplasmic 2 heavy chain 1
"Short rib-polydactyly syndrome, Verma-Naumoff type",WDR35,WD repeat domain 35
"Short rib-polydactyly syndrome, Verma-Naumoff type",DYNC2I1,dynein 2 intermediate chain 1
"Short rib-polydactyly syndrome, Verma-Naumoff type",DYNC2I2,dynein 2 intermediate chain 2
"Short rib-polydactyly syndrome, Majewski type",TRAF3IP1,TRAF3 interacting protein 1
"Short rib-polydactyly syndrome, Majewski type",DYNC2H1,dynein cytoplasmic 2 heavy chain 1
"Short rib-polydactyly syndrome, Majewski type",NEK1,NIMA related kinase 1
"Short rib-polydactyly syndrome, Saldino-Noonan type",DYNC2H1,dynein cytoplasmic 2 heavy chain 1
"Short rib-polydactyly syndrome, Beemer-Langer type",IFT80,intraflagellar transport 80
"Short rib-polydactyly syndrome, Beemer-Langer type",IFT122,intraflagellar transport 122
"Spondyloepimetaphyseal dysplasia, PAPSS2 type",PAPSS2,3'-phosphoadenosine 5'-phosphosulfate synthase 2
"Spondyloepiphyseal dysplasia, Kimberley type",ACAN,aggrecan
Mild spondyloepiphyseal dysplasia due to COL2A1 mutation with early-onset osteoarthritis,COL2A1,collagen type II alpha 1 chain
Polyostotic fibrous dysplasia,GNAS,GNAS complex locus
Monostotic fibrous dysplasia,GNAS,GNAS complex locus
Thanatophoric dysplasia type 2,FGFR3,fibroblast growth factor receptor 3
NKX6-2-related autosomal recessive hypomyelinating leukodystrophy,NKX6-2,NK6 homeobox 2
Posterior urethral valve,BNC2,basonuclin zinc finger protein 2
Severe myopia-generalized joint laxity-short stature syndrome,GZF1,GDNF inducible zinc finger protein 1
"Renal agenesis, unilateral",RET,ret proto-oncogene
"Renal agenesis, unilateral",FRAS1,Fraser extracellular matrix complex subunit 1
"Renal agenesis, unilateral",BMP4,bone morphogenetic protein 4
"Renal agenesis, unilateral",FREM2,FRAS1 related extracellular matrix 2
"Renal agenesis, unilateral",FREM1,FRAS1 related extracellular matrix 1
"Renal agenesis, unilateral",UPK3A,uroplakin 3A
"Renal agenesis, unilateral",DSTYK,dual serine/threonine and tyrosine protein kinase
"Renal agenesis, unilateral",GREB1L,GREB1 like retinoic acid receptor coactivator
Diaphragmatic hernia-short bowel-asplenia syndrome,HLX,H2.0 like homeobox
Congenital tufting enteropathy,EPCAM,epithelial cell adhesion molecule
Hypocalcemic vitamin D-resistant rickets,VDR,vitamin D receptor
Autosomal dominant intermediate Charcot-Marie-Tooth disease type E,INF2,"inverted formin, FH2 and WH2 domain containing"
HNF1B-related autosomal dominant tubulointerstitial kidney disease,HNF1B,HNF1 homeobox B
"Renal dysplasia, unilateral",HNF1B,HNF1 homeobox B
"Renal dysplasia, bilateral",HNF1B,HNF1 homeobox B
Isolated tibial hemimelia,GLI3,GLI family zinc finger 3
Isolated radial hemimelia,LMBR1,limb development membrane protein 1
Isolated radial hemimelia,SHH,sonic hedgehog signaling molecule
Autosomal dominant Kenny-Caffey syndrome,FAM111A,FAM111 trypsin like peptidase A
Autosomal recessive Kenny-Caffey syndrome,TBCE,tubulin folding cofactor E
Autosomal recessive omodysplasia,GPC6,glypican 6
Autosomal dominant omodysplasia,FZD2,frizzled class receptor 2
Polydactyly of a triphalangeal thumb,SHH,sonic hedgehog signaling molecule
Polydactyly of a triphalangeal thumb,LMBR1,limb development membrane protein 1
Postaxial polydactyly type B,GLI1,GLI family zinc finger 1
Postaxial polydactyly type B,GLI3,GLI family zinc finger 3
Postaxial polydactyly type A,GLI1,GLI family zinc finger 1
Postaxial polydactyly type A,KIAA0825,KIAA0825
Postaxial polydactyly type A,ZNF141,zinc finger protein 141
Postaxial polydactyly type A,IQCE,IQ motif containing E
Postaxial polydactyly type A,GLI3,GLI family zinc finger 3
Postaxial polydactyly type A,CIBAR1,CBY1 interacting BAR domain containing 1
Pelviscapular dysplasia,TBX15,T-box transcription factor 15
Polydactyly of a biphalangeal thumb and/or hallux,GLI1,GLI family zinc finger 1
Polysyndactyly,GLI3,GLI family zinc finger 3
X-linked spondyloepimetaphyseal dysplasia,BGN,biglycan
"Spondyloepimetaphyseal dysplasia congenita, Strudwick type",COL2A1,collagen type II alpha 1 chain
Anauxetic dysplasia,RMRP,RNA component of mitochondrial RNA processing endoribonuclease
Anauxetic dysplasia,POP1,POP1 ribonuclease P/MRP subunit
Anauxetic dysplasia,RMP64,ribonuclease MRP subunit p64
